Item,Description,Price,Category,Menu
Crab Rangoon,Six pieces. Crispy skin filled with crab meat and cream cheese.,5.75,Popular Items,Lunch
Shrimp Fried Rice,,6.0,Popular Items,Lunch
Traditional Wings,,5.5,Popular Items,Lunch
Chicken with Orange Peel,Hot and spicy. Chicken sautéed with fried orange peel and hot peppers in a sweet hot sauce.,8.25,Popular Items,Lunch
Singapore Rice Vermicelli,"Hot and spicy. Shrimp, BBQ pork, vegetables, and vermicelli prepared with a rich curry flavor. Spicy.",7.5,Popular Items,Lunch
Braised Sesame,Special honey sesame sauce with steamed broccoli.,8.25,Popular Items,Lunch
Ma Pao Tofu,Hot and spicy.,7.25,Popular Items,Lunch
Fresh Mixed Veggies,Stir-fried fresh vegetables.,7.25,Popular Items,Lunch
Governor's Mansion,General Tao's. Hot and spicy.,7.25,Lunch Specials - Lunch Plates,Lunch
Chicken with Orange Peel,Hot and spicy.,8.25,Lunch Specials - Lunch Plates,Lunch
Szechwan Plate,Hot and spicy.,7.25,Lunch Specials - Lunch Plates,Lunch
Braised Sesame,,8.25,Lunch Specials - Lunch Plates,Lunch
Mongolian Plate,,7.25,Lunch Specials - Lunch Plates,Lunch
Hot Pepper Plate,Hot and spicy.,7.25,Lunch Specials - Lunch Plates,Lunch
Garlic Lovers Plate,,7.25,Lunch Specials - Lunch Plates,Lunch
Empress Family Plate,Hot and spicy.,7.25,Lunch Specials - Lunch Plates,Lunch
Sweet & Sour Plate,,7.25,Lunch Specials - Lunch Plates,Lunch
Nuts Delight Plate,,7.25,Lunch Specials - Lunch Plates,Lunch
Hunan Palace Plate,Hot and spicy.,7.25,Lunch Specials - Lunch Plates,Lunch
Cantonese Black Bean Sauce,,7.25,Lunch Specials - Lunch Plates,Lunch
Green Pepper with Tomato,,7.25,Lunch Specials - Lunch Plates,Lunch
Stir Fried with Greens,,7.25,Lunch Specials - Lunch Plates,Lunch
Fresh Mixed Veggie,,7.25,Lunch Specials - Lunch Plates,Lunch
Egg Foo Young (2),,7.25,Lunch Specials - Lunch Plates,Lunch
Chop Suey,,7.25,Lunch Specials - Lunch Plates,Lunch
BBQ Ribs,,9.5,Lunch Specials - Lunch Plates,Lunch
Chicken Wings (2 Pieces),,7.5,Lunch Specials - Lunch Plates,Lunch
Szechwan String Beans,Hot and spicy.,7.25,Lunch Specials - Vegetarian Plates,Lunch
Law Han Vegetables,,7.25,Lunch Specials - Vegetarian Plates,Lunch
Hong Sue Tofu,,7.25,Lunch Specials - Vegetarian Plates,Lunch
House Special Tofu,Hot and spicy.,7.25,Lunch Specials - Vegetarian Plates,Lunch
Chicken,,7.25,Lunch Specials - Noodle Dishes,Lunch
Beef,Spicy.,7.25,Lunch Specials - Noodle Dishes,Lunch
Shrimp,,8.25,Lunch Specials - Noodle Dishes,Lunch
Singapore Vermicelli,Hot and spicy.,8.25,Lunch Specials - Noodle Dishes,Lunch
BBQ Pork,,7.25,Lunch Specials - Noodle Dishes,Lunch
Veggie,,7.25,Lunch Specials - Noodle Dishes,Lunch
De Rice Style,,9.25,Lunch Specials - Noodle Dishes,Lunch
Fried Rice,,5.75,Lunch Specials - Fried Rice,Lunch
Scallion Pancake,,3.5,Appetizers,Lunch
Spring Rolls (2 Pieces),"Rice sheet wrapped around fresh cucumbers, carrots, lettuce, cilantro, tofu, eggs and vermicelli noodles. Served with a spicy sweet and sour sauce and ground peanuts.",3.5,Appetizers,Lunch
Cantonese Egg Rolls (2 Pieces),,3.25,Appetizers,Lunch
Crab Rangoon,Six pieces. Crispy skin filled with crab meat and cream cheese.,5.75,Appetizers,Lunch
Pot Stickers,"Six pieces. Dumplings filled with ground meat, onions, ginger and vegetables.",6.0,Appetizers,Lunch
Beef Kabob,Four pieces. Slices of marinated beef on skewers served with teriyaki sauce.,5.75,Appetizers,Lunch
Chicken Kabob,Four pieces. Slices of marinated chicken on skewers served with teriyaki sauce.,5.75,Appetizers,Lunch
Szechwan Wonton,Six pieces. Hot and spicy.,4.5,Appetizers,Lunch
Szechwan Cucumber Salad,"Hot and spicy. Fresh cucumbers, tomatoes, cilantro and lettuce with house special hot sauce.",5.25,Appetizers,Lunch
Barbecued Pork,,6.0,Appetizers,Lunch
Barbecued Ribs,,6.5,Appetizers,Lunch
Traditional Wings,,5.5,Appetizers,Lunch
Buffalo Wings,Hot and spicy.,6.0,Appetizers,Lunch
Honey Glazed Wings,,6.0,Appetizers,Lunch
Fried Wonton,,3.5,Appetizers,Lunch
Edamame,,4.0,Appetizers,Lunch
Shrimp Tempura,,7.5,Appetizers,Lunch
Seaweed Rolls,"Delicious seaweed rolls with golden egg crust, layers of seaweed, scallops and ground shrimp.",7.5,Appetizers,Lunch
Hot & Sour Soup,Hot and spicy.,3.0,Soups,Lunch
Miso Soup,,3.0,Soups,Lunch
Won Ton Soup,,3.0,Soups,Lunch
Egg Drop Soup,,3.0,Soups,Lunch
Vegetarian Soup,,3.0,Soups,Lunch
Seaweed Shrimp,,3.75,Soups,Lunch
Seafood Combo Soup with Tofu,Quart.,8.5,Soups,Lunch
Velvet Chicken Corn Soup,Quart.,7.0,Soups,Lunch
Sizzling Rice Soup with Chicken,Quart.,6.0,Soups,Lunch
Sizzling Rice Soup with Shrimp,Quart.,7.0,Soups,Lunch
Chicken Rice Soup,Quart.,4.5,Soups,Lunch
Chicken Noodle Soup,Quart.,4.5,Soups,Lunch
Big Bowl Noodle Soup,"Quart. Your choice of egg noodle, wide rice noodle or rice vermicelli, prepared with your choice of ingredients of beef, chicken or BBQ pork with Chinese vegetables. Served in a big bowl.",8.5,Soups,Lunch
Big Bowl Seafood Noodle Soup,Quart.,9.5,Soups,Lunch
Shanghai Baby Cabbage,,5.95,Vegetarian Corner,Lunch
Snow Peas with Garlic Sauce,,7.5,Vegetarian Corner,Lunch
Broccoli with Garlic Sauce,,5.95,Vegetarian Corner,Lunch
Szechwan String Beans,Hot and spicy.,6.5,Vegetarian Corner,Lunch
Law Han Vegetables,The traditional Chinese vegetarian plate.,7.5,Vegetarian Corner,Lunch
Hong Sue Eggplant,,6.95,Vegetarian Corner,Lunch
Eggplant in Szechwan Sauce,Hot and spicy.,6.95,Vegetarian Corner,Lunch
