Item,Description,Price,Category,Menu
Chicken Tikka Masala,Butter chicken. Chicken pieces roasted in a clay oven and then folded into creamy tomato sauce. Served with basmati rice.,17.95,Popular Items,All Day
Vegetable Samosa,"Cone pastry stuffed with green peas, potatoes and fresh coriander leaves.",5.95,Popular Items,All Day
Chicken Momo,Steamed dumplings of minced chicken seasoned with Nepali herbs and spices. Served with our special sauce.,12.95,Popular Items,All Day
Half Tandoori Chicken,Chicken marinated in yogurt blend of colorful Indian herbs and spices and roasted in a clay oven. Served with basmati rice.,17.95,Popular Items,All Day
Vegetable Momo,Steamed dumplings of mixed vegetables seasoned with Nepali herbs and spices. Served with our special sauce.,12.95,Popular Items,All Day
Chicken Chili,"Boneless chicken, green chili, bell pepper, onions, sauteed with mild Nepali spices.",13.95,Popular Items,All Day
House Salad,"Lettuce, tomato, carrot, cucumber, onion. Served with house dressing.",5.95,Popular Items,All Day
Chicken Tikka Salad,"Lettuce, tomato, carrot, cucumber, onion, mixed with chicken breast, served with house dressing.",13.95,Popular Items,All Day
Lamb Tikka,"Boneless cubes of tender lamb marinated with yogurt, garlic, ginger skewered and roasted in a clay oven. Served with basmati rice.",22.95,Popular Items,All Day
Aaluko Achar,"Baby potatoes and cucumber diced and picked with sesame lemon paste. Tempered with fenugreek seed and turmeric powder. Served with Nepal house signature chiura, a beaten rice, and bhatams.",9.95,Nepali Appetizers,All Day
Vegetable Chow Mein Nepali Style,Stir fried noodle with vegetables and Nepali spices.,12.95,Nepali Appetizers,All Day
Chicken Chow Mein Nepali Style,Stir fried noodle with chicken and Nepali spices.,12.95,Nepali Appetizers,All Day
Vegetable Momo,Steamed dumplings of mixed vegetables seasoned with Nepali herbs and spices. Served with our special sauce.,12.95,Nepali Appetizers,All Day
Chicken Momo,Steamed dumplings of minced chicken seasoned with Nepali herbs and spices. Served with our special sauce.,12.95,Nepali Appetizers,All Day
Chicken Chhoela,"Diced chicken breast marinated in Nepali herbs and spices, cooked in tandoor. Served with Nepal house signature beaten rice and bhatams.",12.95,Nepali Appetizers,All Day
Chicken Chili,"Boneless chicken, green chili, bell pepper, onions, sauteed with mild Nepali spices.",13.95,Nepali Appetizers,All Day
Goat Chhoela,Diced boneless marinated in Nepali herbs and spices. Cooked in a tandoor. Served with Nepali house signature beaten rice and bhatams.,13.95,Nepali Appetizers,All Day
Tandoori Chicken wings,Marinated chicken wings with Himalayan spices.,14.95,Nepali Appetizers,All Day
Fried Chicken Momo,Eight pieces.,11.99,Nepali Appetizers,All Day
Vegetable Samosa,"Cone pastry stuffed with green peas, potatoes and fresh coriander leaves.",5.95,Indian Appetizers,All Day
Cheese Pakora,"Homemade cheese marinated in a mix of spices, dipped in a batter of chickpeas and then deep fried.",6.95,Indian Appetizers,All Day
Mixed Pakora,"Crispy assorted vegetables, golden fried with light chickpeas flour batter.",5.95,Indian Appetizers,All Day
Bombay Bhel Poori,"Rice puffs, chickpeas flour, vermicelli diced potatoes and onions mixed with tamarind and mint chutney.",5.95,Indian Appetizers,All Day
Onion Bhaji,Sliced onion mixed with spiced chickpeas flour and deep fried.,5.95,Indian Appetizers,All Day
Chef Special Veg Platter for 2,"Vegetable samosa, onion bhaji and cheese pakoras.",9.95,Indian Appetizers,All Day
Shrimp Pakora,Spice marinated shrimp dipped in chef's special blend batter and fried.,11.95,Non Vegetarian Indian Appetizers ( Meat Halal ),All Day
Chicken Samosa,Cone pastry stuffed with spiced minced chicken.,5.95,Non Vegetarian Indian Appetizers ( Meat Halal ),All Day
Lamb Samosa,Cone pastry stuffed with spiced minced lamb.,5.95,Non Vegetarian Indian Appetizers ( Meat Halal ),All Day
Chicken Pakora,Succulent pieces of chicken marinated overnight in an blend of masala and cooked in a tandoor oven then dipped in batter and deep fried.,5.95,Non Vegetarian Indian Appetizers ( Meat Halal ),All Day
Nepal House Special Vegetarian Soup,Mixed vegetable and lentil soup and mildly spiced.,5.95,Soups & Salads,All Day
Nepal House Special Chicken Soup,Mixed vegetable and lentil soup and mildly spiced.,5.95,Soups & Salads,All Day
Chicken Tikka Salad,"Lettuce, tomato, carrot, cucumber, onion, mixed with chicken breast, served with house dressing.",13.95,Soups & Salads,All Day
Tandoori Shrimp Salad,"Lettuce, tomato, carrot, cucumber, onion, mixed with shrimp, served with house dressing.",14.95,Soups & Salads,All Day
House Salad,"Lettuce, tomato, carrot, cucumber, onion. Served with house dressing.",5.95,Soups & Salads,All Day
Aloo Ra Seemi Ko Tarkari - Vegan,Fresh potatoes cooked to perfection with green beans and mild Nepalese spices along with ginger tomatoes and herbs. Served with basmati rice.,16.95,Napoli Entrees,All Day
Aloo Tama Bodi- Vegan,"Combination of potatoes, Bamboo shoots and black eyed beans cooked with Himalayan spices. Served with basmati rice.",16.95,Napoli Entrees,All Day
Palungoko Saag- Vegan,"Fresh spinach sauteed with cumin, mustard and fenugreek seed, with dry red chili, garlic and ginger. Served with basmati rice.",16.95,Napoli Entrees,All Day
Jhaneko Dal - Vegan,"Lentils soaked overnight. Cooked with Nepali spices. Tempered with onion, cumin seeds, garlic, ginger and asafetida. Served with basmati rice.",15.95,Napoli Entrees,All Day
Bhuteko Kauli - Vegan,Cauliflower florets deliciously cooked in Nepali spices with tomatoes and ginger garlic paste. Served with basmati rice.,16.95,Napoli Entrees,All Day
Tareko Aalu,Potato cubes sauteed with Nepali spices. Garnished with cilantro. Served with basmati rice.,14.95,Napoli Entrees,All Day
Nepali Kukhura,Bone in chicken cooked with flavorful Nepali spices. Served with basmati rice.,16.95,Napoli Entrees,All Day
